product_name,product_description,ingredients,allergies,more,full_name_product,calories,proteins_g,carbohydrates_g,sugars_g,sugar_teaspoons,fats_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,calcium_mg,brand_name
גליל טבעוני בסגנון גבינה בתוספת עגבניות מיובשות ועשבי תיבול,קיו גליל על בסיס סויה ושקדים בסגנון גבינה בתוספת עגבניות מיובשות ועשבי תיבול,"מים, פולי סויה שאינם מהונדסים גנטית (28%), שמן קנולה מזוכך, שמן קוקוס, שקדים (3%), תערובת עמילנים (תפו""א, תירס, טפיוקה), שמן זית, תמצית טעם טבעית, מלח שולחן, חיידקים פרוביוטיים.","מכיל: סויה, אגוזים (שקדים).","ללא צבעי מאכל.
																		
ללא חומרים משמרים.","גליל טבעוני בסגנון גבינה בתוספת עגבניות מיובשות ועשבי תיבול, מאמא קיו",290.0,7.6,8.33,0.9,0.23,21.0,3.9,0.5,0.0,393.0,85.0,מאמא קיו
פנדה בוטנים וקורנפלקס,ממתק בטעם שוקולד חלב במילוי קרם בוטנים (42.5%) וקורנפלקס,"סוכר, חמאת בוטנים טבעית (21%), חמאת קקאו, שיבולת שועל ללא גלוטן, קורנפלקס (7.5%) [קמח תירס, סוכר, תמצית לתת שעורה (מכיל גלוטן), מלח, ויטמינים (B12, B9, B6, B3, B2, B1), ברזל], עיסת קקאו, מלטודקסטרין, שבבי קוקוס, שמן קוקוס, מתחלב (לציטין לפתית), תמצית וניל, מלח.","מכיל: אגוזים (קוקוס), בוטנים, שעורה - גלוטן. עלול להכיל: (חיטה, שיבולת שועל) - גלוטן, אגוזים (שקדים, לוז, פיסטוק, קשיו, מלך, פקאן, מקדמיה), שומשום, סויה.","ללא צבעי מאכל.
																		
ללא חומרים משמרים.","פנדה בוטנים וקורנפלקס, פנדה מוצרים טבעוניים בע""מ",544.0,8.3,45.9,30.5,7.75,35.6,17.1,0.5,0.0,65.0,,"פנדה מוצרים טבעוניים בע""מ"
Veggie - רטבים לא טבעוניים,Veggie רויאל - המבורגר צמחוני עם רוטב רויאל לא טבעוני המוכר והאהוב!,"ללא צבעי מאכל.
																		
ללא חומרים משמרים.","מכיל גלוטן, ביצים, סויה, שומשום, חרדל. עלול להכיל סלרי.",,"Veggie - רטבים לא טבעוניים, מקדונלד`ס",163.0,9.0,18.0,3.2,0.75,5.4,0.6,0.0,4.0,270.0,,מקדונלד`ס
סובאז` טבעוני - קיו גליל בטעם גבינה צרפתית,SAUVAGE - גליל טבעוני על בסיס סויה ושקדים בטעם גבינה צרפתית,"מים, פולי סויה שאינם מהונדסים גנטית (28%), שמן קנולה מזוכך, שמן קוקוס, שקדים (3%), תערובת עמילנים (תפו""א, תירס, טפיוקה), שמן זית, מלח שולחן, חומרי טעם וריח, תבלינים, חיידקים פרוביוטיים.","מכיל: סויה, אגוזים (שקדים).","ללא צבעי מאכל.
																		
ללא חומרים משמרים.","סובאז` טבעוני - קיו גליל בטעם גבינה צרפתית, מאמא קיו",284.0,7.35,7.12,0.0,0.0,22.0,3.9,0.5,0.0,390.0,100.0,מאמא קיו
ALTERNATiVE - מעדן שקדים בטעם אגוזי לוז,"מעדן שקדים בטעם אגוזי לוז, בתוספת סידן וויטמינים (למעט ויטמין D במוצר כשר לפסח) - 5% שומן","מים, שקדים טחונים (10%), סוכר, עמילן מעובד (E1442), מייצבים (פקטין וקרגינאן), תוסף תזונה: (סידן - טריקלציום פוספט, מתוכו 0.1% סידן), צבעי מאכל (סוכר שרוף ובטא קרוטן), מלח, מתחלב (לציטין לפתית), מווסת חומציות (טרי פוטסיום ציטראט), חומרי טעם וריח, ויטמינים D (למעט במוצר כשר לפסח) ו- B12 (ויטמין D ערך של 0.75 מק""ג ל- 100 גרם, ויטמין B12 ערך של 0.4 מק""ג ל- 100 גרם).","ללא גלוטן, ללא לקטוז. מכיל: אגוזים (שקדים). עלול להכיל: סויה.","ללא צבעי מאכל.
																		
ללא חומרים משמרים.","ALTERNATiVE - מעדן שקדים בטעם אגוזי לוז, תנובה",106.0,2.5,12.0,9.0,2.25,5.0,0.4,0.5,0.0,50.0,120.0,תנובה
ALTERNATiVE BARISTA - משקה שיבולת שועל בטעם אגוזי לוז,"משקה שיבולת שועל בטעם אגוזי לוז בתוספת סידן וויטמינים, מפוסטר על","מיצוי שיבולת שועל (95%) (מים, שיבולת שועל 10%) (מכיל גלוטן), שמן קנולה, סיבים תזונתיים (אינולין), תוסף תזונה סידן (קלציום קרבונט, טרי קלציום פוספט, מתוכם סידן 0.1%), מווסת חומציות: דיפוטסיום פוספט, חומרי טעם וריח, מלח, מייצב: ג`אלן גאם, ויטמינים E, D, B12 (ויטמין E - 1.8 מ""ג, ויטמין D - 0.75 מק""ג, ויטמין B12 - 0.4 מק""ג ל- 100 מ""ל).","מכיל: שיבולת שועל - גלוטן. עלול להכיל: אגוזים (שקדים), סויה.","ללא צבעי מאכל.
																		
ללא חומרים משמרים.","ALTERNATiVE BARISTA - משקה שיבולת שועל בטעם אגוזי לוז, תנובה",54.0,1.1,5.0,3.0,0.75,3.0,0.3,0.5,0.0,40.0,120.0,תנובה
פנדה קרם חלבה - ממתק בטעם שוקולד חלב במילוי קרם חלבה (40%),ערך תזונתי של פנדה קרם חלבה - ממתק בטעם שוקולד חלב במילוי קרם חלבה (40%),"סוכר, חמאת קקאו, קרם חלב [סוכר, שומשום (35%), שמן צמחי, קמח סויה, מתחלב (לציטין סויה), חומרי טעם וריח], שיבולת שועל ללא גלוטן, מלטודקסטרין, עיסת קקאו, שבבי קוקוס, שמן קוקוס, לציטין לפתית, תמצית וניל, מלח.","מכיל: אגוזים (קוקוס), סויה, שומשום. עלול להכיל: (חיטה, שיבולת שועל, שעורה) - גלוטן, אגוזים (שקדים, לוז, פיסטוק, קשיו, מלך, פקאן, מקדמיה), בוטנים.","ללא צבעי מאכל.
																		
ללא חומרים משמרים.","פנדה קרם חלבה - ממתק בטעם שוקולד חלב במילוי קרם חלבה (40%), פנדה מוצרים טבעוניים בע""מ",558.0,4.1,56.9,42.7,10.75,34.4,19.3,0.5,0.0,44.0,,"פנדה מוצרים טבעוניים בע""מ"
מה מה קיו - גליל טבעוני בסגנון גבינת עיזים,ערך תזונתי של מה מה קיו - גליל טבעוני בסגנון גבינת עיזים,"מים, פולי סויה שאינם מהונדסים גנטית (28%), שמן קנולה מזוכך, שמן קוקוס, שקדים (3%), תערובת עמילנים (תפו""א, תירס, טפיוקה), שמן זית, תמצית טעם טבעית, מלח שולחן, תבלינים, חיידקים פרוביוטיים.","מכיל: סויה, אגוזים (שקדים).","ללא צבעי מאכל.
																		
ללא חומרים משמרים.","מה מה קיו - גליל טבעוני בסגנון גבינת עיזים, מאמא קיו",284.0,7.35,7.12,0.0,0.0,22.0,3.9,0.5,0.0,390.0,85.0,מאמא קיו
BEEFFREE - תערובת על בסיס חלבון אפונה להכנת תחליפי בשר,ערך תזונתי של BEEFFREE - תערובת על בסיס חלבון אפונה להכנת תחליפי בשר,"חלבון אפונה (80%), מייצב (מתיל תאית), מלטודקסטרין, תמצית שמרים, בצל יבש, מלח שולחן, סיבי אפונה, צבע מאכל טבעי (אבקת סלק), חומרי טעם וריח, תבלינים, אבקת קקאו.",,"מכיל צבעי מאכל טבעיים בלבד. מידע נוסף: צבע מאכל טבעי (אבקת סלק).																		
ללא חומרים משמרים.","BEEFFREE - תערובת על בסיס חלבון אפונה להכנת תחליפי בשר, Creative Pea",215.0,16.0,2.6,0.0,0.0,15.5,1.5,0.5,0.0,320.0,,Creative Pea
"ALTERNATiVE WHITE - משקה שיבולת שועל בתוספת סידן וויטמינים, מפוסטר על","ערך תזונתי של ALTERNATiVE WHITE - משקה שיבולת שועל בתוספת סידן וויטמינים, מפוסטר על","מיצוי שיבולת שועל (95%) (מים, שיבולת שועל 7.5%) (מכיל גלוטן), שמן מהצומח (קנולה), סיבים תזונתיים (אנולין), תוסף תזונה: (סידן - קלציום קרבונט, טרי קלציום פוספט מתוכם סידן 0.1%), מווסת חומציות (דיפוטסיום פוספט), מלח, חומרי טעם וריח, מייצב (ג`לן גאם), ויטמינים E, D, B12.","מכיל: (שיבולת שועל, חיטה, שיפון, שעורה) - גלוטן. עלול להכיל: אגוזים (שקדים), סויה.","ללא צבעי מאכל.
																		
ללא חומרים משמרים.","ALTERNATiVE WHITE - משקה שיבולת שועל בתוספת סידן וויטמינים, מפוסטר על, תנובה",59.0,0.9,5.3,2.3,0.5,3.5,0.3,0.5,0.0,50.0,120.0,תנובה
