english_name,source,portion_name,Water,Galactose,Lactose,Lycopene,Energy,Protein,Ash,Sucrose,Maltose,Riboflavin,Cholesterol,Starch,Nitrogen,Fructose,Niacin,Cryptoxanthin__beta,Tocopherol__delta,Tocotrienol__gamma,Tocotrienol__delta,Vitamin_C__total_ascorbic_acid,Thiamin,Folate__total,Vitamin_K__Dihydrophylloquinone_,Vitamin_K__phylloquinone_,Fatty_acids__total_trans,Fatty_acids__total_saturated,SFA_8_0,SFA_12_0,SFA_14_0,PUFA_22_6_n_3__DHA_,SFA_22_0,PUFA_20_5_n_3__EPA_,PUFA_22_5_n_3__DPA_,SFA_17_0,SFA_24_0,TFA_16_1_t,MUFA_24_1_c,MUFA_18_1_c,PUFA_18_2_n_6_c_c,MUFA_22_1_c,MUFA_17_1,Fatty_acids__total_trans_monoenoic,MUFA_15_1,PUFA_18_3_n_3_c_c_c__ALA_,PUFA_20_3_n_3,PUFA_22_4,Fiber__total_dietary,Iron__Fe,Magnesium__Mg,Phosphorus__P,Sodium__Na,Copper__Cu,Manganese__Mn,Vitamin_A__RAE,Carotene__beta,Carotene__alpha,PUFA_20_4,PUFA_18_4,Fatty_acids__total_monounsaturated,Fatty_acids__total_polyunsaturated,SFA_15_0,TFA_18_1_t,TFA_22_1_t,TFA_18_2_t_not_further_defined,PUFA_18_2_CLAs,PUFA_20_2_n_6_c_c,MUFA_16_1_c,PUFA_18_3_n_6_c_c_c,Fatty_acids__total_trans_polyenoic,PUFA_20_3_n_6,SFA_4_0,SFA_6_0,SFA_10_0,SFA_16_0,SFA_18_0,SFA_20_0,Lutein___zeaxanthin,Tocopherol__beta,Tocopherol__gamma,Tocotrienol__alpha,Tocotrienol__beta,Pantothenic_acid,Vitamin_B_6,Vitamin_K__Menaquinone_4_,Total_lipid__fat_,Carbohydrate__by_difference,Glucose,Calcium__Ca,Potassium__K,Zinc__Zn,Selenium__Se,MUFA_14_1_c,MUFA_20_1_c,MUFA_22_1_n_9,PUFA_22_2,SFA_11_0,TFA_18_3_t,PUFA_20_3_n_9,Choline__total,Choline__from_glycerophosphocholine,Betaine,Choline__from_sphingomyelin,Choline__free,Choline__from_phosphotidyl_choline,Choline__from_phosphocholine,Fatty_acids__total_trans_dienoic,MUFA_17_1_c,PUFA_18_2_c,PUFA_18_3_c,PUFA_20_3_c,PUFA_20_4c,PUFA_20_5c,PUFA_22_5_c,PUFA_22_6_c,PUFA_20_2_c,Cryptoxanthin__alpha,trans_beta_Carotene,cis_beta_Carotene,cis_Lutein_Zeaxanthin,cis_Lycopene,Lutein,Zeaxanthin,Vitamin_B_12,Retinol,Vitamin_D2__ergocalciferol_,Vitamin_D3__cholecalciferol_,Vitamin_D__D2___D3_,Vitamin_D__D2___D3___International_Units,col_25_hydroxycholecalciferol,Iodine__I,MUFA_20_1,PUFA_18_3i,Specific_Gravity,Tryptophan,Threonine,Methionine,Phenylalanine,Tyrosine,Alanine,Glutamic_acid,Glycine,Proline,Isoleucine,Leucine,Lysine,Cystine,Valine,Arginine,Histidine,Aspartic_acid,Serine,Fiber__insoluble,Fiber__soluble,Hydroxyproline,MUFA_22_1,MUFA_18_1,PUFA_18_2,PUFA_18_3,SFA_5_0,SFA_7_0,SFA_9_0,MUFA_12_1,TFA_14_1_t,TFA_20_1_t,SFA_21_0,MUFA_22_1_n_11,SFA_23_0,PUFA_22_3,Cysteine,col_10_Formyl_folic_acid__10HCOFA_,col_5_Formyltetrahydrofolic_acid__5_HCOH4,col_5_methyl_tetrahydrofolate__5_MTHF_,Phytofluene,Phytoene,trans_Lycopene,Boron__B,Cobalt__Co,Molybdenum__Mo,Nickel__Ni,Sulfur__S,PUFA_20_3,Biotin,Beta_sitosterol,Brassicasterol,Campestanol,Campesterol,Delta_5_avenasterol,Beta_sitostanol,Stigmasterol,Total_dietary_fiber__AOAC_2011_25_,Citric_acid,Malic_acid,Total_Sugars,Energy__Atwater_Specific_Factors_,Delta_7_Stigmastenol,Stigmastadiene,TFA_18_2_t,Ergosterol,Ergothioneine,Vitamin_D4,Ergosta_7_enol,Ergosta_7_22_dienol,Ergosta_5_7_dienol,Beta_glucan,Glutathione,Daidzin,Genistin,Glycitin,Verbascose,Raffinose,Stachyose,Daidzein,Genistein,Carotene__gamma,Oxalic_acid,Quinic_acid,Low_Molecular_Weight_Dietary_Fiber__LMWDF_,High_Molecular_Weight_Dietary_Fiber__HMWDF_,Pyruvic_acid,Folate__DFE,Theobromine,Folate__food,MUFA_16_1,Caffeine,Vitamin_E__added,Vitamin_B_12__added,Alcohol__ethyl,Folic_acid,PUFA_2_4_n_6,SFA_13_0,PUFA_21_5,MUFA_18_1_11_t__18_1t_n_7_,MUFA_14_1,Vitamin_A__IU,Phytosterols,PUFA_18_2_i,Fluoride__F,TFA_18_2_t_t,PUFA_2_5_n_3__EPA_,gtinUpc,Sugars__added,Total_sugar_alcohols,Vitamin_E,Sorbitol,Taurine,Xylitol,Chlorine__Cl,Chromium__Cr,Inositol,Inulin,Sugars__intrinsic,Acetic_acid,Lactic_acid,Ribose,Epigallocatechin_3_gallate,availableDate,modifiedDate,hebrew_name,Vitamin_K,brandOwner,brand,marketCountry,ingredients,isUpdated,search_id
,food_dictionary_merged_cleaned.csv,,,,,,290.0,7.6,,,,,0.0,,,,,,,,,,,,,,0.5,3.9,,,,,,,,,,,,,,,,,,,,,,,,,393.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,8.33,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-10T20:33:52.356114Z,2025-09-10T20:33:52.356141Z,גליל טבעוני בסגנון גבינה בתוספת עגבניות מיובשות ועשבי תיבול,,מאמא קיו,,Israel,"מים, פולי סויה שאינם מהונדסים גנטית (28%), שמן קנולה מזוכך, שמן קוקוס, שקדים (3%), תערובת עמילנים (תפו""א, תירס, טפיוקה), שמן זית, תמצית טעם טבעית, מלח שולחן, חיידקים פרוביוטיים.",,3194552
,food_dictionary_merged_cleaned.csv,,,,,,544.0,8.3,,,,,0.0,,,,,,,,,,,,,,0.5,17.1,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.6,45.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-10T20:33:52.360228Z,2025-09-10T20:33:52.360253Z,פנדה בוטנים וקורנפלקס,,"פנדה מוצרים טבעוניים בע""מ",,Israel,"סוכר, חמאת בוטנים טבעית (21%), חמאת קקאו, שיבולת שועל ללא גלוטן, קורנפלקס (7.5%) [קמח תירס, סוכר, תמצית לתת שעורה (מכיל גלוטן), מלח, ויטמינים (B12, B9, B6, B3, B2, B1), ברזל], עיסת קקאו, מלטודקסטרין, שבבי קוקוס, שמן קוקוס, מתחלב (לציטין לפתית), תמצית וניל, מלח.",,1463338
,food_dictionary_merged_cleaned.csv,,,,,,163.0,9.0,,,,,4.0,,,,,,,,,,,,,,0.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-10T20:33:52.361001Z,2025-09-10T20:33:52.361014Z,Veggie - רטבים לא טבעוניים,,מקדונלד`ס,,Israel,"ללא צבעי מאכל.
																		
ללא חומרים משמרים.",,7124602
,food_dictionary_merged_cleaned.csv,,,,,,284.0,7.35,,,,,0.0,,,,,,,,,,,,,,0.5,3.9,,,,,,,,,,,,,,,,,,,,,,,,,390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,7.12,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-10T20:33:52.361746Z,2025-09-10T20:33:52.361763Z,סובאז` טבעוני - קיו גליל בטעם גבינה צרפתית,,מאמא קיו,,Israel,"מים, פולי סויה שאינם מהונדסים גנטית (28%), שמן קנולה מזוכך, שמן קוקוס, שקדים (3%), תערובת עמילנים (תפו""א, תירס, טפיוקה), שמן זית, מלח שולחן, חומרי טעם וריח, תבלינים, חיידקים פרוביוטיים.",,6581565
,food_dictionary_merged_cleaned.csv,,,,,,106.0,2.5,,,,,0.0,,,,,,,,,,,,,,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,12.0,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-10T20:33:52.362531Z,2025-09-10T20:33:52.362546Z,ALTERNATiVE - מעדן שקדים בטעם אגוזי לוז,,תנובה,,Israel,"מים, שקדים טחונים (10%), סוכר, עמילן מעובד (E1442), מייצבים (פקטין וקרגינאן), תוסף תזונה: (סידן - טריקלציום פוספט, מתוכו 0.1% סידן), צבעי מאכל (סוכר שרוף ובטא קרוטן), מלח, מתחלב (לציטין לפתית), מווסת חומציות (טרי פוטסיום ציטראט), חומרי טעם וריח, ויטמינים D (למעט במוצר כשר לפסח) ו- B12 (ויטמין D ערך של 0.75 מק""ג ל- 100 גרם, ויטמין B12 ערך של 0.4 מק""ג ל- 100 גרם).",,3077283
,food_dictionary_merged_cleaned.csv,,,,,,54.0,1.1,,,,,0.0,,,,,,,,,,,,,,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-10T20:33:52.363306Z,2025-09-10T20:33:52.363338Z,ALTERNATiVE BARISTA - משקה שיבולת שועל בטעם אגוזי לוז,,תנובה,,Israel,"מיצוי שיבולת שועל (95%) (מים, שיבולת שועל 10%) (מכיל גלוטן), שמן קנולה, סיבים תזונתיים (אינולין), תוסף תזונה סידן (קלציום קרבונט, טרי קלציום פוספט, מתוכם סידן 0.1%), מווסת חומציות: דיפוטסיום פוספט, חומרי טעם וריח, מלח, מייצב: ג`אלן גאם, ויטמינים E, D, B12 (ויטמין E - 1.8 מ""ג, ויטמין D - 0.75 מק""ג, ויטמין B12 - 0.4 מק""ג ל- 100 מ""ל).",,3082040
,food_dictionary_merged_cleaned.csv,,,,,,558.0,4.1,,,,,0.0,,,,,,,,,,,,,,0.5,19.3,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.4,56.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-10T20:33:52.364722Z,2025-09-10T20:33:52.364762Z,פנדה קרם חלבה - ממתק בטעם שוקולד חלב במילוי קרם חלבה (40%),,"פנדה מוצרים טבעוניים בע""מ",,Israel,"סוכר, חמאת קקאו, קרם חלב [סוכר, שומשום (35%), שמן צמחי, קמח סויה, מתחלב (לציטין סויה), חומרי טעם וריח], שיבולת שועל ללא גלוטן, מלטודקסטרין, עיסת קקאו, שבבי קוקוס, שמן קוקוס, לציטין לפתית, תמצית וניל, מלח.",,3378465
,food_dictionary_merged_cleaned.csv,,,,,,284.0,7.35,,,,,0.0,,,,,,,,,,,,,,0.5,3.9,,,,,,,,,,,,,,,,,,,,,,,,,390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,7.12,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-10T20:33:52.365199Z,2025-09-10T20:33:52.365205Z,מה מה קיו - גליל טבעוני בסגנון גבינת עיזים,,מאמא קיו,,Israel,"מים, פולי סויה שאינם מהונדסים גנטית (28%), שמן קנולה מזוכך, שמן קוקוס, שקדים (3%), תערובת עמילנים (תפו""א, תירס, טפיוקה), שמן זית, תמצית טעם טבעית, מלח שולחן, תבלינים, חיידקים פרוביוטיים.",,1667484
,food_dictionary_merged_cleaned.csv,,,,,,215.0,16.0,,,,,0.0,,,,,,,,,,,,,,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-10T20:33:52.365516Z,2025-09-10T20:33:52.365521Z,BEEFFREE - תערובת על בסיס חלבון אפונה להכנת תחליפי בשר,,Creative Pea,,Israel,"חלבון אפונה (80%), מייצב (מתיל תאית), מלטודקסטרין, תמצית שמרים, בצל יבש, מלח שולחן, סיבי אפונה, צבע מאכל טבעי (אבקת סלק), חומרי טעם וריח, תבלינים, אבקת קקאו.",,1551744
,food_dictionary_merged_cleaned.csv,,,,,,59.0,0.9,,,,,0.0,,,,,,,,,,,,,,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,5.3,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-10T20:33:52.365842Z,2025-09-10T20:33:52.365847Z,"ALTERNATiVE WHITE - משקה שיבולת שועל בתוספת סידן וויטמינים, מפוסטר על",,תנובה,,Israel,"מיצוי שיבולת שועל (95%) (מים, שיבולת שועל 7.5%) (מכיל גלוטן), שמן מהצומח (קנולה), סיבים תזונתיים (אנולין), תוסף תזונה: (סידן - קלציום קרבונט, טרי קלציום פוספט מתוכם סידן 0.1%), מווסת חומציות (דיפוטסיום פוספט), מלח, חומרי טעם וריח, מייצב (ג`לן גאם), ויטמינים E, D, B12.",,3010023
